"value","unit","charge_id","timestamp"
"44300","Wh","24441","2024-07-11 09:52:53+00"
"44400","Wh","24441","2024-07-11 09:53:53+00"
"44500","Wh","24441","2024-07-11 09:54:53+00"
"44600","Wh","24441","2024-07-11 09:55:53+00"
"44700","Wh","24441","2024-07-11 09:56:53+00"
"44700","Wh","24441","2024-07-11 09:57:53+00"
"44800","Wh","24441","2024-07-11 09:58:53+00"
"44800","Wh","24441","2024-07-11 09:59:53+00"
"44800","Wh","24441","2024-07-11 10:00:53+00"
"44900","Wh","24441","2024-07-11 10:01:53+00"
"44900","Wh","24441","2024-07-11 10:02:53+00"
"45000","Wh","24441","2024-07-11 10:03:53+00"
"45000","Wh","24441","2024-07-11 10:04:53+00"
"45100","Wh","24441","2024-07-11 10:05:53+00"
"45100","Wh","24441","2024-07-11 10:06:53+00"
"45200","Wh","24441","2024-07-11 10:07:53+00"
"45200","Wh","24441","2024-07-11 10:08:53+00"
"45300","Wh","24441","2024-07-11 10:09:53+00"
"45300","Wh","24441","2024-07-11 10:10:53+00"
"45400","Wh","24441","2024-07-11 10:11:53+00"
"45400","Wh","24441","2024-07-11 10:12:53+00"
"45500","Wh","24441","2024-07-11 10:13:53+00"
"45500","Wh","24441","2024-07-11 10:14:53+00"
"45500","Wh","24441","2024-07-11 10:15:53+00"
"45600","Wh","24441","2024-07-11 10:16:53+00"
"45800","Wh","24441","2024-07-11 10:17:53+00"
"45900","Wh","24441","2024-07-11 10:18:53+00"
"46000","Wh","24441","2024-07-11 10:19:54+00"
"46100","Wh","24441","2024-07-11 10:20:54+00"
"46200","Wh","24441","2024-07-11 10:21:54+00"
"46300","Wh","24441","2024-07-11 10:22:54+00"
"46400","Wh","24441","2024-07-11 10:23:54+00"
"46500","Wh","24441","2024-07-11 10:24:54+00"
"46700","Wh","24441","2024-07-11 10:25:54+00"
"46800","Wh","24441","2024-07-11 10:26:54+00"
"46900","Wh","24441","2024-07-11 10:27:54+00"
"47000","Wh","24441","2024-07-11 10:28:54+00"
"47100","Wh","24441","2024-07-11 10:29:54+00"
"47200","Wh","24441","2024-07-11 10:30:53+00"
"47400","Wh","24441","2024-07-11 10:31:53+00"
"47500","Wh","24441","2024-07-11 10:32:53+00"
"47600","Wh","24441","2024-07-11 10:33:53+00"
"47800","Wh","24441","2024-07-11 10:34:53+00"
"47900","Wh","24441","2024-07-11 10:35:53+00"
"48100","Wh","24441","2024-07-11 10:36:53+00"
"48300","Wh","24441","2024-07-11 10:37:53+00"
"48500","Wh","24441","2024-07-11 10:38:53+00"
"48600","Wh","24441","2024-07-11 10:39:53+00"
"48800","Wh","24441","2024-07-11 10:40:53+00"
"49000","Wh","24441","2024-07-11 10:41:53+00"
"49200","Wh","24441","2024-07-11 10:42:53+00"
"49400","Wh","24441","2024-07-11 10:43:53+00"
"49500","Wh","24441","2024-07-11 10:44:53+00"
"49700","Wh","24441","2024-07-11 10:45:53+00"
"49900","Wh","24441","2024-07-11 10:46:53+00"
"50100","Wh","24441","2024-07-11 10:47:53+00"
"50300","Wh","24441","2024-07-11 10:48:53+00"
"50400","Wh","24441","2024-07-11 10:49:54+00"
"50600","Wh","24441","2024-07-11 10:50:53+00"
"50800","Wh","24441","2024-07-11 10:51:54+00"
"51000","Wh","24441","2024-07-11 10:52:54+00"
